Original File name/description,File name,,Used images (as of 2/26),Unused images (as of 2/26)
0164-1830 boy with curls and fancy collar. Public Domain.jpg,0164_image.jpg,,0246_image.jpg,0620_image.jpg
"0165-1830 boy with dove, Spanish, public domain. Yorck Project.jpg",0165_image.jpg,,0247_image.jpg,0622_image.jpg
0166-1830 BOYS of wealth and fashion.jpg,0166_image.jpg,,0248_image.jpg,0638_image.jpg
0167-1830 coat for working man or child.jpg,0167_image.jpg,,0250_image.jpg,0640_image.jpg
0168-1830 corsets internal damage.jpg,0168_image.jpg,,0251_image.jpg,0642_image.jpg
0169-1830 early high fashion.jpg,0169_image.jpg,,0252_image.jpg,0644_image.jpg
0170-1830 Maternity Corset.jpg,0170_image.jpg,,0253_image.jpg,0645_image.jpg
"0171-1830 men high fashionh plate, exaggerated details.jpg",0171_image.jpg,,0254_image.jpg,0647_image.jpg
0172-1830 men working clothing Pinterest of Maggie Fish.jpg,0172_image.jpg,,0255_image.jpg,0649_image.jpg
"0173-1830 men, Danish artists in Rome.jpg",0173_image.jpg,,0257_image.jpg,0650_image.jpg
"0174-1830 men's clothing, full pants.jpg",0174_image.jpg,,0260_image.jpg,0651_image.jpg
0175-1830 women & children high fashion.jpg,0175_image.jpg,,0261_image.jpg,0652_image.jpg
"0176-1830 women dress, hat shawl, hair, Cleveland Art Org. 1979.43.jpg",0176_image.jpg,,0262_image.jpg,0653_image.jpg
0177-1830 Women Farm maid from connerprarie.org,0177_image.jpg,,0264_image.jpg,0654_image.jpg
0178-1830 women fashion hats.jpg,0178_image.jpg,,0265_image.jpg,0658_image.jpg
"0179-1830 women hair, bodice.jpg",0179_image.jpg,,0266_image.jpg,0659_image.jpg
0180-1830 Women High fashion plate.jpg,0180_image.jpg,,0267_image.jpg,0660_image.jpg
0181-1830 women idealized sillhouette. Wikimedia.org,0181_image.jpg,,0268_image.jpg,0661_image.jpg
"0182-1830 women ornate indoor cap and neck ruff, puffed sleeves, lace at wrist. Mrs. Edward Kellogg by Waldo Samuel Lovett. pub dom.jpg",0182_image.jpg,,0269_image.jpg,0663_image.jpg
0183-1830 women riding habits.jpg,0183_image.jpg,,0270_image.jpg,0664_image.jpg
"0184-1830 women underwear, sleeve plumpers, corset, chemise and petticoat, LACMA Image Library.jpg",0184_image.jpg,,0271_image.jpg,0666_image.jpg
0185-1830- Girl's dress on Julia Murdock Smith.jpg,0185_image.jpg,,0272_image.jpg,0668_image.jpg
"0186-1830-40 boys poor clothes for play, Oliver Twist, costumes by Sarah Nash, U of Washington.jpg",0186_image.jpg,,0273_image.jpg,0669_image.jpg
0187-1830-40 Duncan MacA & wife .jpg,0187_image.jpg,,0274_image.jpg,0672_image.jpg
0188-1830-40 girl's dress from Maggie May Clothing.jpg,0188_image.jpg,,0275_image.jpg,0675_image.jpg
"0189-1830-40 Oliver Cowdery by Ken Corbett, courtesy Mormon Hist. Sites Foundation.jpg",0189_image.jpg,,0276_image.jpg,0677_image.jpg
"0190-1830-40s linen suit and vest, front & back, Cap Cresup.jpg",0190_image.jpg,,0278_image.jpg,0680_image.jpg
"0191-1830-40s White linen suit and vest frong and back, Cap Cresup.jpg",0191_image.jpg,,0280_image.jpg,0682_image.jpg
"0192-1830-40sGray wool cape, Lucy Mack Smith, with velvet trim, gray checked silk lining.jpg",0192_image.jpg,,0281_image.jpg,0683_image.jpg
"0193-1830-50 . Men's corsets were worn during all early 1800s, but especially the 1830s - 50s by obese men.jpg",0193_image.jpg,,0282_image.jpg,0685_image.jpg
0194-1830-50s Woman's plaid cloak from New England.jpg,0194_image.jpg,,0283_image.jpg,0686_image.jpg
"0195-1830-50swork aprons, front and backs. Tow linen bleached white woman's, for Kirtland sawmill.jpg",0195_image.jpg,,0285_image.jpg,0690_image.jpg
